"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","pctg_milik_sendiri","pctg_kontrak","pctg_bebas_sewa","pctg_dinas","pctg_cuci_tangan_Air Kemasan
Bermerk","pctg_cuci_tangan_Air Isi Ulang","pctg_cuci_tangan_Leding","pctg_cuci_tangan_Sumur Bor/
Pompa","pctg_cuci_tangan_Sumur Terlindung","pctg_cuci_tangan_Sumur Tak Terlindung","pctg_Mata Air Terlindung","pctg_cuci_tangan_Mata Air Tak Terlindung","pctg_cuci_tangan_Air Permukaan (Sungai/ Danau/ Waduk/ Kolam/
Irigasi)","pctg_cuci_tangan_Air Hujan","pctg_air_minum_layak","pctg_listrik_pln","pctg_rumah_layak_huni","pctg_rumah_kumuh","rata_rata_pengeluaran_sewa_perkapita_per_bulan","rata_rata_pengeluaran_listrik_perkapita_per_bulan","rata_rata_pengeluaran_air_perkapita_per_bulan","rata_rata_pengeluaran_bahan_bakar_perkapita_per_bulan","rata_rata_pengeluaran_gas_perkapita_per_bulan","proporsi_pengeluaran_rumah","proporsi_pengeluaran_listrik","proporsi_pengeluaran_air"
"Aceh","84.12","4.4","9.93","1.53","1.3","42.22","7.79","9.19","24.58","2.86","8.06","1.2","2.31","0.33","39.36","99.67","65.91","5.11","4420","28363","3384","12830","10997","0.36","2.31","0.28"
"Sumatera Utara","71.46","9.72","16","2.81","2.31","36.94","11.66","23.73","9.27","2.33","8.25","1.94","0.91","2.57","45.33","98.9","70.95","5.75","10563","38979","6400","15035","12776","0.81","2.99","0.49"
"Sumatera Barat","72.61","7.24","18.74","1.4","0.91","42.85","11.42","6.48","16.87","3.16","10.58","5.11","1.35","1.23","40.98","98.99","59.85","4.51","8167","35648","5742","15362","11744","0.58","2.52","0.41"
"R i a u","77.56","8.31","9.79","4.25","1.73","53.21","0.47","13.97","10.15","1.61","2.41","0.85","0.32","15.27","35.29","95.54","71.53","3.48","10217","53084","1874","15554","13789","0.67","3.48","0.12"
"J a m b i","87.28","3.4","8.15","1.18","2.55","23.94","10.73","6.97","28.86","10.42","4.05","1.65","3.44","7.28","51.42","98.67","64.12","3.71","3461","44247","5383","19261","16021","0.24","3.11","0.38"
"Sumatera Selatan","84.71","3.71","10.98","0.6","1.21","20.49","16.46","13.96","31.67","4.39","2.61","1.29","1.91","5.95","56.57","96.77","61.82","7.57","3391","35877","6049","16524","12702","0.28","2.97","0.5"
"Bengkulu","88.38","3.93","6.69","1","0.29","14.3","11.34","14.64","26.78","20.72","7.26","3.3","1.26","NA","48.85","99.45","54.74","4.64","4238","34782","3605","16967","13350","0.32","2.61","0.27"
"Lampung","92.4","2.45","4.96","0.18","4.39","18.57","2.44","16.88","38.71","10.76","4.27","3.02","0.77","0.19","56.07","98.9","63.15","5.75","3184","34323","1921","16967","12755","0.26","2.85","0.16"
"Kep. Bangka Belitung","88.65","3.95","6.41","0.99","5.92","58.41","2.11","7.78","18.77","5.21","0.91","0.54","NA","NA","23.01","99.55","32.57","15.33","5341","57836","2925","19209","17635","0.31","3.35","0.17"
"Kep. Riau","72.97","16.35","9.89","0.55","20.1","55.67","7.11","4.14","7.36","2.65","1.35","1.08","0.11","NA","18.46","97.85","54.21","8.44","31118","88870","17136","14760","12433","1.56","4.47","0.86"
"DKI Jakarta","56.57","22.82","18.99","1.62","33.52","45.87","7.64","12.57","0.18","0","NA","NA","0","NA","25.45","99.91","38.8","19.27","49559","123826","21396","20073","19712","1.78","4.44","0.77"
"Jawa Barat","83.38","5.54","10.83","0.22","9.94","39.09","4.66","18.44","15.24","1.79","8.56","1.89","0.27","NA","40.74","99.92","54.17","11.66","10256","44293","5572","16411","14716","0.65","2.83","0.36"
"Jawa Tengah","91.05","1.27","7.6","0.07","6.39","23.4","12.97","17.58","17.89","1.92","16.95","2.06","0.21","0.57","53.88","99.95","68.85","4.82","1964","26945","5608","18565","14883","0.16","2.23","0.46"
"DI Yogyakarta","86.43","6.08","7.24","0.25","12.77","9.98","10.33","25","28.41","1.72","4.39","0.99","NA","6.35","68.16","100","85.79","1.85","16009","36905","4954","20599","16091","0.92","2.13","0.29"
"Jawa Timur","90.92","2.63","6.22","0.21","12.91","22.84","8.58","24.52","15.66","0.59","13.02","1.48","0.19","0.12","53.04","99.64","70.74","5.63","4318","34287","5768","18264","14131","0.33","2.59","0.44"
"Banten","85.67","6.24","7.73","NA","20","36.82","2.18","23.21","8.51","2.44","4.49","1.65","0.29","0.23","37.6","99.68","63.06","9.02","11966","62650","5573","17454","15336","0.69","3.59","0.32"
"B a l i","85.24","8.22","6.28","NA","26.31","14.38","20.69","7.56","4.01","NA","22.4","1.02","NA","3.26","44.62","99.9","84.26","2.41","16373","49668","11638","23985","19138","0.94","2.85","0.67"
"Nusa Tenggara Barat","91.35","1.1","7.32","0.24","4.59","24.56","12.8","22.52","19.81","1.36","13.19","0.74","0.31","NA","52.61","99.68","66.31","7.95","1508","22269","4093","12378","10555","0.12","1.77","0.32"
"Nusa Tenggara Timur","90.74","3.34","4.83","0.98","0.33","8.99","16.5","10.58","17.99","3.53","30.04","5.59","2","4.26","37.59","87.81","42.7","21.9","3046","15412","5253","23179","756","0.32","1.6","0.55"
"Kalimantan Barat","91.43","1.67","6.41","0.5","3.46","20.24","2.4","3.28","4.4","3.31","10.66","3.86","6.31","42.08","56.53","91.19","64.16","3.31","2902","36895","6393","19770","17239","0.22","2.74","0.48"
"Kalimantan Tengah","81.92","3.53","9.14","5.36","2.77","47.3","5.62","14.15","8.25","2.37","2.62","1.35","8.07","7.44","27.98","87.81","56.49","4.8","4816","42711","5670","25225","23207","0.32","2.8","0.37"
"Kalimantan Selatan","83.09","4.88","10.33","1.71","3.63","33.95","27.2","10.53","8.73","5.48","1.46","0.83","7.42","0.72","41.28","98.94","57.5","7.19","5853","39451","14978","16469","14124","0.4","2.71","1.03"
"Kalimantan Timur","75.14","10.41","12.53","1.93","3.5","75.68","11.76","1.68","2.05","0.56","1.47","NA","1.62","1.32","16.51","95.36","75.82","2.58","20518","62956","25188","26765","24533","1.04","3.18","1.27"
"Kalimantan Utara","76.63","9.63","11.39","2.34","0.86","72.9","5.41","1.34","0.94","NA","3.44","0.75","3.45","10.84","22.62","95.72","71.43","3.1","15208","61151","16479","27245","17048","0.9","3.61","0.97"
"Sulawesi Utara","79.47","2.73","17.11","0.69","7.76","43.64","9.37","8.83","13.36","1.94","12.48","1.28","NA","1","37.1","99.39","72.39","4.17","3560","31531","5571","17079","13223","0.27","2.4","0.42"
"Sulawesi Tengah","88.44","3.39","7.28","0.83","0.63","43.56","7.76","12.94","6.81","1.61","18.15","2.25","5.75","0.42","36.95","95.86","59.6","8.38","5926","25751","2427","20558","13605","0.5","2.19","0.21"
"Sulawesi Selatan","87.68","2.2","9.64","0.28","1.83","36.39","13.55","18.75","12.73","2.06","9.99","2.12","0.88","1.64","45.07","97.63","71.88","3.97","2754","34669","6619","16799","1475","0.22","2.77","0.53"
"Sulawesi Tenggara","90.54","2.16","6.97","0.34","1.05","40.67","10.97","14.19","14.87","1.47","12.56","1.22","0.43","2.56","44.58","97.61","74.01","4.32","2254","27943","4206","20198","11961","0.19","2.38","0.36"
"Gorontalo","85.14","0.87","13.63","0.36","1.63","61.01","7.6","11.83","12.09","1.63","3.67","NA","NA","NA","26.66","98.46","70.75","5.28","NA","28281","5525","16103","13290","0.16","2.3","0.45"
"Sulawesi Barat","93.35","0.95","4.55","1.16","0.33","28.23","6.68","15.34","17.68","3.97","13.57","6.01","7.97","0.23","35.49","94.67","59.28","8.2","NA","22707","2553","17172","12390","0.16","2.19","0.25"
"Maluku","84.69","3.14","10.9","1.24","0.28","24.32","10.1","8.84","19.61","2.76","28.53","1.5","1.15","2.8","39.85","93.26","63.61","8.02","5680","27715","5909","23471","671","0.46","2.24","0.48"
"Maluku Utara","90.26","1.96","6.96","0.81","0.24","25.03","21.07","4.32","23.2","3.33","13.41","2.57","2.57","4.26","45.42","91.58","68.17","6.07","3270","28283","6783","27401","983","0.25","2.15","0.51"
"Papua Barat","82.94","7","7.68","2.36","2.41","39.08","3.86","3.88","10.77","3.64","12.08","4.04","6.23","14","30.72","83.2","56.92","6.45","16793","41172","2563","26553","2544","1.05","2.58","0.16"
"Papua","85.31","6.41","5.22","2.88","3.02","27.2","3.72","1.79","2.84","3.57","14.19","20.19","2.98","20.42","25.86","47.07","29.01","37.98","21093","29124","3445","51444","2228","1.4","1.93","0.23"
